align_bits,num_jumps,rc5,rc5_per_iter
17,92,200197,0.200197
17,93,200211,0.200211
17,94,200510,0.20051
17,95,200520,0.20052
17,96,200240,0.20024
17,97,200604,0.200604
17,98,200406,0.200406
17,99,200504,0.200504
17,100,200550,0.20055
17,101,200411,0.200411
18,67,166943,0.166943
18,68,164235,0.164235
18,69,163458,0.163458
18,70,163185,0.163185
18,71,162920,0.16292
18,72,162855,0.162855
18,73,162737,0.162737
18,74,161873,0.161873
18,75,161292,0.161292
18,76,160466,0.160466
18,77,161423,0.161423
18,78,159763,0.159763
18,79,159273,0.159273
18,80,159583,0.159583
18,81,161007,0.161007
18,82,201233,0.201233
18,83,200775,0.200775
18,84,201407,0.201407
18,85,201231,0.201231
18,86,201289,0.201289
18,87,201385,0.201385
18,88,200794,0.200794
18,89,201545,0.201545
18,90,201039,0.201039
18,91,201150,0.20115
18,92,201118,0.201118
18,93,200804,0.200804
18,94,201167,0.201167
18,95,200950,0.20095
18,96,201467,0.201467
18,97,200843,0.200843
18,98,201325,0.201325
18,99,201225,0.201225
18,100,201085,0.201085
18,101,201178,0.201178
19,67,193608,0.193608
19,68,192306,0.192306
19,69,191452,0.191452
19,70,190603,0.190603
19,71,190075,0.190075
19,72,189581,0.189581
19,73,188198,0.188198
19,74,186629,0.186629
19,75,186067,0.186067
19,76,185065,0.185065
19,77,183970,0.18397
19,78,188478,0.188478
19,79,183201,0.183201
19,80,183090,0.18309
19,81,215516,0.215516
19,82,215597,0.215597
19,83,218392,0.218392
19,84,215512,0.215512
19,85,215584,0.215584
19,86,215481,0.215481
19,87,215673,0.215673
19,88,215461,0.215461
19,89,218207,0.218207
19,90,215363,0.215363
19,91,215174,0.215174
19,92,215236,0.215236
19,93,217788,0.217788
19,94,217807,0.217807
19,95,217529,0.217529
19,96,215580,0.21558
19,97,215047,0.215047
19,98,216037,0.216037
19,99,216006,0.216006
19,100,219197,0.219197
19,101,215764,0.215764
