bit,ndummy,ndummy_effective,iters,rc5,miss_per_iter,seconds
14,65,67,2000000,4002,0.002001000,
14,66,68,2000000,4072,0.002036000,
14,67,69,2000000,4108,0.002054000,
14,68,70,2000000,3935,0.001967500,
14,69,71,2000000,3757,0.001878500,
14,70,72,2000000,3769,0.001884500,
14,71,73,2000000,3855,0.001927500,
14,72,74,2000000,3914,0.001957000,
14,73,75,2000000,3946,0.001973000,
14,74,76,2000000,3932,0.001966000,
14,75,77,2000000,5046,0.002523000,
14,76,78,2000000,3882,0.001941000,
14,77,79,2000000,4272,0.002136000,
14,78,80,2000000,4768,0.002384000,
14,79,81,2000000,3924,0.001962000,
14,80,82,2000000,4430,0.002215000,
14,81,83,2000000,4049,0.002024500,
14,82,84,2000000,4029,0.002014500,
14,83,85,2000000,4022,0.002011000,
14,84,86,2000000,4132,0.002066000,
14,85,87,2000000,1003894,0.501947000,
14,86,88,2000000,1003730,0.501865000,
14,87,89,2000000,1004311,0.502155500,
14,88,90,2000000,1003342,0.501671000,
14,89,91,2000000,1003415,0.501707500,
14,90,92,2000000,1004457,0.502228500,
14,91,93,2000000,1003531,0.501765500,
14,92,94,2000000,1003468,0.501734000,
14,93,95,2000000,1003788,0.501894000,
14,94,96,2000000,1003982,0.501991000,
14,95,97,2000000,1003480,0.501740000,
14,96,98,2000000,1003303,0.501651500,
14,97,99,2000000,1002997,0.501498500,
14,98,100,2000000,1003476,0.501738000,
14,99,101,2000000,1003248,0.501624000,
14,100,102,2000000,1002970,0.501485000,
15,65,67,2000000,4438,0.002219000,
15,66,68,2000000,3761,0.001880500,
15,67,69,2000000,4002,0.002001000,
15,68,70,2000000,4064,0.002032000,
15,69,71,2000000,5179,0.002589500,
15,70,72,2000000,4382,0.002191000,
15,71,73,2000000,4303,0.002151500,
15,72,74,2000000,4100,0.002050000,
15,73,75,2000000,3933,0.001966500,
15,74,76,2000000,3877,0.001938500,
15,75,77,2000000,3958,0.001979000,
15,76,78,2000000,3879,0.001939500,
15,77,79,2000000,3893,0.001946500,
15,78,80,2000000,4004,0.002002000,
15,79,81,2000000,5072,0.002536000,
15,80,82,2000000,5055,0.002527500,
15,81,83,2000000,3873,0.001936500,
15,82,84,2000000,3957,0.001978500,
15,83,85,2000000,4017,0.002008500,
15,84,86,2000000,1003770,0.501885000,
15,85,87,2000000,1003786,0.501893000,
15,86,88,2000000,1004303,0.502151500,
15,87,89,2000000,1004473,0.502236500,
15,88,90,2000000,1004506,0.502253000,
15,89,91,2000000,1003645,0.501822500,
15,90,92,2000000,1003472,0.501736000,
15,91,93,2000000,1003512,0.501756000,
15,92,94,2000000,1003423,0.501711500,
15,93,95,2000000,1003390,0.501695000,
15,94,96,2000000,1004201,0.502100500,
15,95,97,2000000,1003294,0.501647000,
15,96,98,2000000,1002583,0.501291500,
15,97,99,2000000,1003406,0.501703000,
15,98,100,2000000,1003415,0.501707500,
15,99,101,2000000,1003034,0.501517000,
15,100,102,2000000,1003141,0.501570500,
16,65,67,2000000,3985,0.001992500,
16,66,68,2000000,3679,0.001839500,
16,67,69,2000000,3820,0.001910000,
16,68,70,2000000,3767,0.001883500,
16,69,71,2000000,3816,0.001908000,
16,70,72,2000000,4967,0.002483500,
16,71,73,2000000,4093,0.002046500,
16,72,74,2000000,3962,0.001981000,
16,73,75,2000000,3959,0.001979500,
16,74,76,2000000,3896,0.001948000,
